time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/12/25/17:14:39.950876,170629,1703495679,948069981,/gps,0,0,24.8828493817,121.15605267,352.380004883,"(8.28100068071486e-05, 0.0, 0.0, 0.0, 7.055999496817598e-05, 0.0, 0.0, 0.0, 0.0004972899719542269)",2
2023/12/25/17:14:40.012429,170630,1703495680,10317908,/gps,0,0,24.8828493683,121.156052668,352.380004883,"(8.28100068071486e-05, 0.0, 0.0, 0.0, 7.055999496817598e-05, 0.0, 0.0, 0.0, 0.0005017599642181403)",2
2023/12/25/17:14:40.050107,170631,1703495680,48700783,/gps,0,0,24.8828493667,121.156052662,352.380004883,"(8.464000375628476e-05, 0.0, 0.0, 0.0, 7.055999496817598e-05, 0.0, 0.0, 0.0, 0.000506250040233136)",2
2023/12/25/17:14:40.099856,170632,1703495680,97981191,/gps,0,0,24.8828493683,121.156052668,352.380004883,"(8.464000375628476e-05, 0.0, 0.0, 0.0, 7.225000785291216e-05, 0.0, 0.0, 0.0, 0.000506250040233136)",2
2023/12/25/17:14:40.150169,170633,1703495680,148684693,/gps,0,0,24.8828493717,121.156052678,352.380004883,"(8.464000375628476e-05, 0.0, 0.0, 0.0, 7.225000785291216e-05, 0.0, 0.0, 0.0, 0.000506250040233136)",2
2023/12/25/17:14:40.200264,170634,1703495680,198448887,/gps,0,0,24.882849375,121.15605267,352.380004883,"(8.649000063747168e-05, 0.0, 0.0, 0.0, 7.225000785291216e-05, 0.0, 0.0, 0.0, 0.0005107600327336793)",2
2023/12/25/17:14:40.250162,170635,1703495680,248657446,/gps,0,0,24.882849375,121.156052672,352.380004883,"(8.649000063747168e-05, 0.0, 0.0, 0.0, 7.225000785291216e-05, 0.0, 0.0, 0.0, 0.0005107600327336793)",2
2023/12/25/17:14:40.300172,170636,1703495680,298352734,/gps,0,0,24.8828493817,121.156052672,352.380004883,"(8.649000063747168e-05, 0.0, 0.0, 0.0, 7.225000785291216e-05, 0.0, 0.0, 0.0, 0.0005107600327336793)",2
2023/12/25/17:14:40.401061,170637,1703495680,398973329,/gps,0,0,24.8828493783,121.15605268,352.380004883,"(8.649000063747168e-05, 0.0, 0.0, 0.0, 7.396000502347955e-05, 0.0, 0.0, 0.0, 0.0005152900251662734)",2
2023/12/25/17:14:40.451095,170638,1703495680,449165152,/gps,0,0,24.8828493833,121.156052685,352.380004883,"(7.74399991607666e-05, 0.0, 0.0, 0.0, 6.400000607967391e-05, 0.0, 0.0, 0.0, 0.00047961000221908093)",2
2023/12/25/17:14:40.502836,170639,1703495680,501118140,/gps,0,0,24.882849395,121.156052678,352.380004883,"(7.920999612748628e-05, 0.0, 0.0, 0.0, 6.561000340372328e-05, 0.0, 0.0, 0.0, 0.00047961000221908093)",2
2023/12/25/17:14:40.550159,170640,1703495680,548560540,/gps,0,0,24.8828493917,121.156052683,352.380004883,"(7.920999612748628e-05, 0.0, 0.0, 0.0, 6.561000340372328e-05, 0.0, 0.0, 0.0, 0.00047961000221908093)",2
2023/12/25/17:14:40.599716,170641,1703495680,597926051,/gps,0,0,24.88284939,121.15605268,352.380004883,"(7.920999612748628e-05, 0.0, 0.0, 0.0, 6.561000340372328e-05, 0.0, 0.0, 0.0, 0.0004839999947547913)",2
2023/12/25/17:14:40.651614,170642,1703495680,648798898,/gps,0,0,24.8828493817,121.156052682,352.380004883,"(7.920999612748628e-05, 0.0, 0.0, 0.0, 6.561000340372328e-05, 0.0, 0.0, 0.0, 0.0004839999947547913)",2
2023/12/25/17:14:40.700090,170643,1703495680,698719897,/gps,0,0,24.88284938,121.156052687,352.380004883,"(7.920999612748628e-05, 0.0, 0.0, 0.0, 6.561000340372328e-05, 0.0, 0.0, 0.0, 0.0004839999947547913)",2
