time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.novatel_msg_header.message_name,.novatel_msg_header.port,.novatel_msg_header.sequence_num,.novatel_msg_header.percent_idle_time,.novatel_msg_header.gps_time_status,.novatel_msg_header.gps_week_num,.novatel_msg_header.gps_seconds,.novatel_msg_header.receiver_status.original_status_code,.novatel_msg_header.receiver_status.error_flag,.novatel_msg_header.receiver_status.temperature_flag,.novatel_msg_header.receiver_status.voltage_supply_flag,.novatel_msg_header.receiver_status.antenna_powered,.novatel_msg_header.receiver_status.antenna_is_open,.novatel_msg_header.receiver_status.antenna_is_shorted,.novatel_msg_header.receiver_status.cpu_overload_flag,.novatel_msg_header.receiver_status.com1_buffer_overrun,.novatel_msg_header.receiver_status.com2_buffer_overrun,.novatel_msg_header.receiver_status.com3_buffer_overrun,.novatel_msg_header.receiver_status.usb_buffer_overrun,.novatel_msg_header.receiver_status.rf1_agc_flag,.novatel_msg_header.receiver_status.rf2_agc_flag,.novatel_msg_header.receiver_status.almanac_flag,.novatel_msg_header.receiver_status.position_solution_flag,.novatel_msg_header.receiver_status.position_fixed_flag,.novatel_msg_header.receiver_status.clock_steering_status_enabled,.novatel_msg_header.receiver_status.clock_model_flag,.novatel_msg_header.receiver_status.oemv_external_oscillator_flag,.novatel_msg_header.receiver_status.software_resource_flag,.novatel_msg_header.receiver_status.aux1_status_event_flag,.novatel_msg_header.receiver_status.aux2_status_event_flag,.novatel_msg_header.receiver_status.aux3_status_event_flag,.novatel_msg_header.receiver_software_version,.week,.seconds,.latitude,.longitude,.height,.north_velocity,.east_velocity,.up_velocity,.roll,.pitch,.azimuth,.status
2023/12/25/17:16:25.683474,882099,1703495785,683045851,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.69,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.69,24.8828459848,121.15607562,352.5257,-0.505,0.1887,-0.022,-1.833105911,-0.824506754,160.758037254,INS_SOLUTION_GOOD
2023/12/25/17:16:25.694348,882100,1703495785,694070651,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.7,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.7,24.8828459389,121.156075639,352.5255,-0.5107,0.1898,-0.0212,-1.833594421,-0.830465416,160.755809505,INS_SOLUTION_GOOD
2023/12/25/17:16:25.703726,882101,1703495785,703414258,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.71,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.71,24.8828458924,121.156075658,352.5253,-0.5159,0.1931,-0.0202,-1.836305001,-0.841468041,160.752743343,INS_SOLUTION_GOOD
2023/12/25/17:16:25.713406,882102,1703495785,713068210,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.72,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.72,24.8828458455,121.156075677,352.525,-0.52,0.196,-0.0236,-1.840695039,-0.852030815,160.749627949,INS_SOLUTION_GOOD
2023/12/25/17:16:25.723136,882103,1703495785,722763471,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.73,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.73,24.8828457983,121.156075696,352.5248,-0.5239,0.1972,-0.0271,-1.844321614,-0.865019031,160.746922342,INS_SOLUTION_GOOD
2023/12/25/17:16:25.733739,882104,1703495785,733396625,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.74,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.74,24.8828457506,121.156075716,352.5245,-0.5283,0.198,-0.0276,-1.842222802,-0.870427892,160.745164612,INS_SOLUTION_GOOD
2023/12/25/17:16:25.744447,882105,1703495785,744000320,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.75,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.75,24.8828457027,121.156075735,352.5243,-0.5328,0.1987,-0.0267,-1.842550333,-0.871146485,160.744982333,INS_SOLUTION_GOOD
2023/12/25/17:16:25.753328,882106,1703495785,753047363,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.76,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.76,24.8828456544,121.156075755,352.524,-0.5361,0.1999,-0.0254,-1.841422336,-0.870180339,160.741657613,INS_SOLUTION_GOOD
2023/12/25/17:16:25.764179,882107,1703495785,763647200,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.77,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.77,24.8828456055,121.156075774,352.5237,-0.5413,0.2016,-0.0267,-1.846720152,-0.873758992,160.739581275,INS_SOLUTION_GOOD
2023/12/25/17:16:25.773489,882108,1703495785,773129605,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.78,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.78,24.8828455563,121.156075794,352.5235,-0.5465,0.2023,-0.0284,-1.849353332,-0.883716936,160.737816609,INS_SOLUTION_GOOD
2023/12/25/17:16:25.783708,882109,1703495785,783186330,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.79,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.79,24.8828455066,121.156075814,352.5232,-0.5515,0.2032,-0.0288,-1.844815975,-0.887819674,160.73548209,INS_SOLUTION_GOOD
2023/12/25/17:16:25.794577,882110,1703495785,794259708,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.8,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.8,24.8828454566,121.156075834,352.5229,-0.5568,0.2041,-0.03,-1.844933617,-0.89102422,160.734391541,INS_SOLUTION_GOOD
2023/12/25/17:16:25.803539,882111,1703495785,803245957,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.81,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.81,24.8828454059,121.156075854,352.5226,-0.5612,0.204,-0.0285,-1.842443567,-0.897315887,160.732999504,INS_SOLUTION_GOOD
2023/12/25/17:16:25.813222,882112,1703495785,812947816,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.82,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.82,24.882845355,121.156075874,352.5223,-0.5649,0.204,-0.0275,-1.839423535,-0.904605783,160.731829309,INS_SOLUTION_GOOD
2023/12/25/17:16:25.823579,882113,1703495785,823342048,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.83,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.83,24.8828453037,121.156075894,352.522,-0.5693,0.2054,-0.0276,-1.839856112,-0.90865038,160.730954152,INS_SOLUTION_GOOD
2023/12/25/17:16:25.833415,882114,1703495785,833093519,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.84,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.84,24.8828452518,121.156075915,352.5217,-0.5757,0.2064,-0.0297,-1.837098866,-0.906977516,160.73015388,INS_SOLUTION_GOOD
2023/12/25/17:16:25.844562,882115,1703495785,844264329,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.85,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.85,24.8828451995,121.156075935,352.5214,-0.5817,0.2072,-0.0321,-1.833410031,-0.912448554,160.727675236,INS_SOLUTION_GOOD
2023/12/25/17:16:25.853725,882116,1703495785,853446941,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.86,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.86,24.8828451466,121.156075955,352.5211,-0.5875,0.2085,-0.031,-1.828155314,-0.920908018,160.726495875,INS_SOLUTION_GOOD
2023/12/25/17:16:25.863438,882117,1703495785,863132266,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.87,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.87,24.8828450933,121.156075976,352.5208,-0.5909,0.2089,-0.0302,-1.824866477,-0.936103451,160.724832846,INS_SOLUTION_GOOD
2023/12/25/17:16:25.873507,882118,1703495785,872983294,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.88,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.88,24.8828450397,121.156075996,352.5205,-0.594,0.209,-0.0292,-1.820524499,-0.945903675,160.725594128,INS_SOLUTION_GOOD
2023/12/25/17:16:25.883704,882119,1703495785,883396757,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.89,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.89,24.8828449858,121.156076017,352.5202,-0.5978,0.2091,-0.0291,-1.818217181,-0.94702836,160.724514881,INS_SOLUTION_GOOD
2023/12/25/17:16:25.894496,882120,1703495785,894182770,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.9,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.9,24.8828449316,121.156076038,352.5199,-0.6023,0.2095,-0.0294,-1.814185903,-0.942705603,160.721088938,INS_SOLUTION_GOOD
2023/12/25/17:16:25.903394,882121,1703495785,903085634,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.91,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.91,24.8828448769,121.156076059,352.5196,-0.6066,0.212,-0.0301,-1.809256832,-0.938246298,160.722800863,INS_SOLUTION_GOOD
2023/12/25/17:16:25.913607,882122,1703495785,913386554,,INSPVAA,USB2,0,34.0,FINESTEERING,2294,119803.92,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119803.92,24.8828448217,121.156076079,352.5194,-0.612,0.214,-0.0287,-1.808900009,-0.955181914,160.721271435,INS_SOLUTION_GOOD
