time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/12/25/17:11:51.097698,167280,1703495511,95707673,/gps,0,0,24.8828396317,121.156030303,352.429992676,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.147567,167281,1703495511,145396056,/gps,0,0,24.882839625,121.156030302,352.429992676,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.198546,167282,1703495511,195822313,/gps,0,0,24.882839615,121.156030303,352.429992676,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.252387,167283,1703495511,245495485,/gps,0,0,24.882839605,121.156030307,352.429992676,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.298396,167284,1703495511,295527382,/gps,0,0,24.8828395933,121.15603031,352.429992676,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.348449,167285,1703495511,345450464,/gps,0,0,24.8828395767,121.156030315,352.429992676,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.398181,167286,1703495511,396078613,/gps,0,0,24.88283956,121.15603032,352.429992676,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.447270,167287,1703495511,445235738,/gps,0,0,24.8828395417,121.156030327,352.429992676,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.497695,167288,1703495511,495790385,/gps,0,0,24.88283952,121.156030332,352.429992676,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.547840,167289,1703495511,545490160,/gps,0,0,24.8828394983,121.156030342,352.429992676,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.598102,167290,1703495511,595860302,/gps,0,0,24.8828394717,121.156030352,352.429992676,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.647383,167291,1703495511,645388946,/gps,0,0,24.8828394383,121.156030363,352.420013428,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.697769,167292,1703495511,695809681,/gps,0,0,24.8828393983,121.156030378,352.420013428,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
2023/12/25/17:11:51.747615,167293,1703495511,745390456,/gps,0,0,24.88283935,121.1560304,352.420013428,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.00013924001047968884, 0.0, 0.0, 0.0, 0.00026244001361489314)",2
