time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.novatel_msg_header.message_name,.novatel_msg_header.port,.novatel_msg_header.sequence_num,.novatel_msg_header.percent_idle_time,.novatel_msg_header.gps_time_status,.novatel_msg_header.gps_week_num,.novatel_msg_header.gps_seconds,.novatel_msg_header.receiver_status.original_status_code,.novatel_msg_header.receiver_status.error_flag,.novatel_msg_header.receiver_status.temperature_flag,.novatel_msg_header.receiver_status.voltage_supply_flag,.novatel_msg_header.receiver_status.antenna_powered,.novatel_msg_header.receiver_status.antenna_is_open,.novatel_msg_header.receiver_status.antenna_is_shorted,.novatel_msg_header.receiver_status.cpu_overload_flag,.novatel_msg_header.receiver_status.com1_buffer_overrun,.novatel_msg_header.receiver_status.com2_buffer_overrun,.novatel_msg_header.receiver_status.com3_buffer_overrun,.novatel_msg_header.receiver_status.usb_buffer_overrun,.novatel_msg_header.receiver_status.rf1_agc_flag,.novatel_msg_header.receiver_status.rf2_agc_flag,.novatel_msg_header.receiver_status.almanac_flag,.novatel_msg_header.receiver_status.position_solution_flag,.novatel_msg_header.receiver_status.position_fixed_flag,.novatel_msg_header.receiver_status.clock_steering_status_enabled,.novatel_msg_header.receiver_status.clock_model_flag,.novatel_msg_header.receiver_status.oemv_external_oscillator_flag,.novatel_msg_header.receiver_status.software_resource_flag,.novatel_msg_header.receiver_status.aux1_status_event_flag,.novatel_msg_header.receiver_status.aux2_status_event_flag,.novatel_msg_header.receiver_status.aux3_status_event_flag,.novatel_msg_header.receiver_software_version,.week,.seconds,.latitude,.longitude,.height,.north_velocity,.east_velocity,.up_velocity,.roll,.pitch,.azimuth,.status
2023/12/25/17:07:05.096115,826370,1703495225,95731007,,INSPVAA,USB2,0,39.5,FINESTEERING,2294,119243.1,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119243.1,24.882823887,121.156020168,352.759,-0.0217,0.0083,0.001,-0.400798402,-0.016365045,156.056993202,INS_SOLUTION_GOOD
2023/12/25/17:07:05.105432,826371,1703495225,105194216,,INSPVAA,USB2,0,39.5,FINESTEERING,2294,119243.11,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119243.11,24.8828238851,121.156020169,352.759,-0.02,0.0094,0.0004,-0.401895222,-0.020461459,156.055147881,INS_SOLUTION_GOOD
2023/12/25/17:07:05.115118,826372,1703495225,114800718,,INSPVAA,USB2,0,39.5,FINESTEERING,2294,119243.12,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119243.12,24.8828238833,121.15602017,352.759,-0.0205,0.0103,-0.0024,-0.40568644,-0.015376765,156.055358069,INS_SOLUTION_GOOD
2023/12/25/17:07:05.125085,826373,1703495225,124753617,,INSPVAA,USB2,0,39.5,FINESTEERING,2294,119243.13,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119243.13,24.8828238814,121.156020171,352.7589,-0.0214,0.0106,-0.0056,-0.405174785,-0.009890832,156.052768808,INS_SOLUTION_GOOD
2023/12/25/17:07:05.135089,826374,1703495225,134757277,,INSPVAA,USB2,0,39.5,FINESTEERING,2294,119243.14,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119243.14,24.8828238794,121.156020172,352.7589,-0.0217,0.0111,-0.005,-0.399825521,0.003006345,156.053682362,INS_SOLUTION_GOOD
2023/12/25/17:07:05.145839,826375,1703495225,145433341,,INSPVAA,USB2,0,39.5,FINESTEERING,2294,119243.15,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119243.15,24.8828238774,121.156020173,352.7589,-0.0222,0.0124,-0.0016,-0.397858422,0.003692619,156.0541997,INS_SOLUTION_GOOD
2023/12/25/17:07:05.155677,826376,1703495225,155056269,,INSPVAA,USB2,0,39.5,FINESTEERING,2294,119243.16,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119243.16,24.8828238754,121.156020175,352.7589,-0.0232,0.0131,0.0023,-0.402858569,0.005065162,156.054590261,INS_SOLUTION_GOOD
2023/12/25/17:07:05.164169,826377,1703495225,163861016,,INSPVAA,USB2,0,39.5,FINESTEERING,2294,119243.17,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119243.17,24.8828238733,121.156020176,352.7588,-0.0243,0.0136,-0.0001,-0.405586752,0.00034177,156.056119372,INS_SOLUTION_GOOD
2023/12/25/17:07:05.175382,826378,1703495225,175078309,,INSPVAA,USB2,0,39.5,FINESTEERING,2294,119243.18,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119243.18,24.8828238709,121.156020177,352.7588,-0.0274,0.014,-0.0032,-0.407886735,0.004817362,156.053238625,INS_SOLUTION_GOOD
2023/12/25/17:07:05.185240,826379,1703495225,184953275,,INSPVAA,USB2,0,39.5,FINESTEERING,2294,119243.19,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119243.19,24.8828238684,121.156020179,352.7588,-0.0284,0.0144,-0.0037,-0.402350359,0.003380759,156.053512133,INS_SOLUTION_GOOD
