time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.novatel_msg_header.message_name,.novatel_msg_header.port,.novatel_msg_header.sequence_num,.novatel_msg_header.percent_idle_time,.novatel_msg_header.gps_time_status,.novatel_msg_header.gps_week_num,.novatel_msg_header.gps_seconds,.novatel_msg_header.receiver_status.original_status_code,.novatel_msg_header.receiver_status.error_flag,.novatel_msg_header.receiver_status.temperature_flag,.novatel_msg_header.receiver_status.voltage_supply_flag,.novatel_msg_header.receiver_status.antenna_powered,.novatel_msg_header.receiver_status.antenna_is_open,.novatel_msg_header.receiver_status.antenna_is_shorted,.novatel_msg_header.receiver_status.cpu_overload_flag,.novatel_msg_header.receiver_status.com1_buffer_overrun,.novatel_msg_header.receiver_status.com2_buffer_overrun,.novatel_msg_header.receiver_status.com3_buffer_overrun,.novatel_msg_header.receiver_status.usb_buffer_overrun,.novatel_msg_header.receiver_status.rf1_agc_flag,.novatel_msg_header.receiver_status.rf2_agc_flag,.novatel_msg_header.receiver_status.almanac_flag,.novatel_msg_header.receiver_status.position_solution_flag,.novatel_msg_header.receiver_status.position_fixed_flag,.novatel_msg_header.receiver_status.clock_steering_status_enabled,.novatel_msg_header.receiver_status.clock_model_flag,.novatel_msg_header.receiver_status.oemv_external_oscillator_flag,.novatel_msg_header.receiver_status.software_resource_flag,.novatel_msg_header.receiver_status.aux1_status_event_flag,.novatel_msg_header.receiver_status.aux2_status_event_flag,.novatel_msg_header.receiver_status.aux3_status_event_flag,.novatel_msg_header.receiver_software_version,.week,.seconds,.latitude,.longitude,.height,.north_velocity,.east_velocity,.up_velocity,.roll,.pitch,.azimuth,.status
2023/12/25/17:11:51.084167,854803,1703495511,83806784,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.09,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.09,24.8828364648,121.156039264,352.6577,-0.0123,0.0032,-0.0031,-0.698966275,-0.023728438,157.549090408,INS_SOLUTION_GOOD
2023/12/25/17:11:51.094882,854804,1703495511,94630275,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.1,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.1,24.882836464,121.156039264,352.6577,-0.0089,0.001,-0.0029,-0.69786881,-0.028233639,157.545868212,INS_SOLUTION_GOOD
2023/12/25/17:11:51.103769,854805,1703495511,103505906,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.11,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.11,24.8828364635,121.156039264,352.6578,-0.007,-0.0006,-0.0037,-0.699285417,-0.010933659,157.545351741,INS_SOLUTION_GOOD
2023/12/25/17:11:51.113865,854806,1703495511,113534608,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.12,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.12,24.8828364631,121.156039263,352.6577,-0.0058,-0.0013,-0.006,-0.700480099,0.003949065,157.542873721,INS_SOLUTION_GOOD
2023/12/25/17:11:51.124078,854807,1703495511,123774167,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.13,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.13,24.8828364627,121.156039263,352.6577,-0.0071,-0.0009,-0.0081,-0.698481157,0.023257716,157.541801055,INS_SOLUTION_GOOD
2023/12/25/17:11:51.133959,854808,1703495511,133538828,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.14,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.14,24.8828364621,121.156039262,352.6576,-0.0098,0.0003,-0.0082,-0.697061428,0.043070141,157.541752031,INS_SOLUTION_GOOD
2023/12/25/17:11:51.144546,854809,1703495511,144190885,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.15,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.15,24.8828364612,121.156039262,352.6576,-0.0122,0.0016,-0.0083,-0.692369374,0.060984536,157.541271505,INS_SOLUTION_GOOD
2023/12/25/17:11:51.154698,854810,1703495511,154005501,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.16,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.16,24.8828364601,121.156039262,352.6576,-0.0163,0.0036,-0.0057,-0.693934008,0.067403168,157.540197997,INS_SOLUTION_GOOD
2023/12/25/17:11:51.164003,854811,1703495511,163656825,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.17,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.17,24.8828364587,121.156039262,352.6576,-0.0192,0.0057,-0.0035,-0.692924918,0.069336307,157.540441931,INS_SOLUTION_GOOD
2023/12/25/17:11:51.174621,854812,1703495511,174378622,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.18,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.18,24.882836457,121.156039262,352.6576,-0.0233,0.0067,-0.0022,-0.695283952,0.068805026,157.540897874,INS_SOLUTION_GOOD
2023/12/25/17:11:51.184277,854813,1703495511,183863263,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.19,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.19,24.8828364549,121.156039262,352.6576,-0.0274,0.0085,-0.0015,-0.695272177,0.063871349,157.539784917,INS_SOLUTION_GOOD
2023/12/25/17:11:51.195219,854814,1703495511,194902794,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.2,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.2,24.8828364523,121.156039263,352.6576,-0.0319,0.0104,-0.0013,-0.695058123,0.06058948,157.539757055,INS_SOLUTION_GOOD
2023/12/25/17:11:51.203960,854815,1703495511,203702016,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.21,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.21,24.8828364498,121.156039264,352.6576,-0.0325,0.0112,-0.002,-0.692664392,0.040825103,157.538875553,INS_SOLUTION_GOOD
2023/12/25/17:11:51.214100,854816,1703495511,213803464,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.22,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.22,24.882836447,121.156039264,352.6576,-0.0337,0.0121,-0.0001,-0.690394845,0.028672669,157.539729007,INS_SOLUTION_GOOD
2023/12/25/17:11:51.223983,854817,1703495511,223694510,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119529.23,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119529.23,24.8828364442,121.156039265,352.6577,-0.0326,0.0121,0.0022,-0.688558701,0.015151008,157.541951788,INS_SOLUTION_GOOD
