time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/12/25/17:16:26.797573,172749,1703495786,795639038,/gps,0,0,24.8828424583,121.156069678,352.279998779,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.847169,172750,1703495786,845067303,/gps,0,0,24.8828420483,121.156069858,352.269989014,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.897603,172751,1703495786,895553956,/gps,0,0,24.8828416317,121.156070042,352.269989014,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.946849,172752,1703495786,944892680,/gps,0,0,24.8828412067,121.156070228,352.269989014,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:27.010592,172753,1703495786,998479778,/gps,0,0,24.88284077,121.156070417,352.269989014,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:27.046662,172754,1703495787,45000514,/gps,0,0,24.882840325,121.156070608,352.269989014,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.096940,172755,1703495787,95166211,/gps,0,0,24.8828398817,121.1560708,352.260009766,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.146822,172756,1703495787,144799745,/gps,0,0,24.88283943,121.156070988,352.260009766,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.197597,172757,1703495787,195579959,/gps,0,0,24.8828389683,121.15607118,352.260009766,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.247038,172758,1703495787,245055662,/gps,0,0,24.8828385033,121.15607138,352.25,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.298334,172759,1703495787,295428191,/gps,0,0,24.8828380267,121.156071585,352.25,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.347409,172760,1703495787,345091171,/gps,0,0,24.88283754,121.156071788,352.25,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.397225,172761,1703495787,395259455,/gps,0,0,24.8828370467,121.156071993,352.239990234,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.447399,172762,1703495787,445254327,/gps,0,0,24.8828365483,121.156072198,352.239990234,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.497831,172763,1703495787,495450627,/gps,0,0,24.8828360383,121.156072403,352.230010986,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.547083,172764,1703495787,544973667,/gps,0,0,24.8828355267,121.156072613,352.230010986,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.596961,172765,1703495787,595218812,/gps,0,0,24.8828350083,121.156072825,352.230010986,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.646978,172766,1703495787,645018968,/gps,0,0,24.882834485,121.156073038,352.220001221,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.696817,172767,1703495787,695068175,/gps,0,0,24.8828339517,121.156073255,352.220001221,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.746940,172768,1703495787,745097681,/gps,0,0,24.8828334117,121.156073478,352.209991455,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.796981,172769,1703495787,795158447,/gps,0,0,24.8828328767,121.156073708,352.209991455,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.847068,172770,1703495787,845071352,/gps,0,0,24.882832345,121.156073943,352.200012207,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.897826,172771,1703495787,895298903,/gps,0,0,24.8828318083,121.156074177,352.200012207,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
