time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.novatel_msg_header.message_name,.novatel_msg_header.port,.novatel_msg_header.sequence_num,.novatel_msg_header.percent_idle_time,.novatel_msg_header.gps_time_status,.novatel_msg_header.gps_week_num,.novatel_msg_header.gps_seconds,.novatel_msg_header.receiver_status.original_status_code,.novatel_msg_header.receiver_status.error_flag,.novatel_msg_header.receiver_status.temperature_flag,.novatel_msg_header.receiver_status.voltage_supply_flag,.novatel_msg_header.receiver_status.antenna_powered,.novatel_msg_header.receiver_status.antenna_is_open,.novatel_msg_header.receiver_status.antenna_is_shorted,.novatel_msg_header.receiver_status.cpu_overload_flag,.novatel_msg_header.receiver_status.com1_buffer_overrun,.novatel_msg_header.receiver_status.com2_buffer_overrun,.novatel_msg_header.receiver_status.com3_buffer_overrun,.novatel_msg_header.receiver_status.usb_buffer_overrun,.novatel_msg_header.receiver_status.rf1_agc_flag,.novatel_msg_header.receiver_status.rf2_agc_flag,.novatel_msg_header.receiver_status.almanac_flag,.novatel_msg_header.receiver_status.position_solution_flag,.novatel_msg_header.receiver_status.position_fixed_flag,.novatel_msg_header.receiver_status.clock_steering_status_enabled,.novatel_msg_header.receiver_status.clock_model_flag,.novatel_msg_header.receiver_status.oemv_external_oscillator_flag,.novatel_msg_header.receiver_status.software_resource_flag,.novatel_msg_header.receiver_status.aux1_status_event_flag,.novatel_msg_header.receiver_status.aux2_status_event_flag,.novatel_msg_header.receiver_status.aux3_status_event_flag,.novatel_msg_header.receiver_software_version,.week,.seconds,.latitude,.longitude,.height,.north_velocity,.east_velocity,.up_velocity,.roll,.pitch,.azimuth,.status
2023/12/25/17:05:27.075925,816629,1703495127,75615005,,INSPVAA,USB2,0,35.0,FINESTEERING,2294,119145.08,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119145.08,24.8828203089,121.156008289,352.7725,-0.0019,0.0056,-0.0055,-1.558275033,0.306412468,159.314146474,INS_SOLUTION_GOOD
2023/12/25/17:05:27.084463,816630,1703495127,84161628,,INSPVAA,USB2,0,35.0,FINESTEERING,2294,119145.09,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119145.09,24.8828203086,121.156008288,352.7724,-0.0023,0.0038,-0.0067,-1.55858962,0.311002055,159.309761474,INS_SOLUTION_GOOD
2023/12/25/17:05:27.096391,816631,1703495127,96074016,,INSPVAA,USB2,0,35.0,FINESTEERING,2294,119145.1,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119145.1,24.8828203083,121.156008288,352.7723,-0.0029,0.0032,-0.0066,-1.557222451,0.325848289,159.307776654,INS_SOLUTION_GOOD
2023/12/25/17:05:27.105916,816632,1703495127,105667549,,INSPVAA,USB2,0,35.0,FINESTEERING,2294,119145.11,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119145.11,24.8828203079,121.156008287,352.7723,-0.004,0.0029,-0.0061,-1.557644865,0.335614593,159.304525013,INS_SOLUTION_GOOD
2023/12/25/17:05:27.114554,816633,1703495127,114247262,,INSPVAA,USB2,0,35.0,FINESTEERING,2294,119145.12,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119145.12,24.8828203073,121.156008287,352.7722,-0.0065,0.0028,-0.0048,-1.55797309,0.352680227,159.298775699,INS_SOLUTION_GOOD
2023/12/25/17:05:27.126176,816634,1703495127,125866541,,INSPVAA,USB2,0,35.0,FINESTEERING,2294,119145.13,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119145.13,24.8828203065,121.156008287,352.7722,-0.0103,0.0042,-0.0036,-1.559826378,0.35954535,159.293184502,INS_SOLUTION_GOOD
2023/12/25/17:05:27.135929,816635,1703495127,135608690,,INSPVAA,USB2,0,35.0,FINESTEERING,2294,119145.14,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119145.14,24.8828203053,121.156008287,352.7721,-0.0134,0.0063,-0.0036,-1.560576662,0.36957549,159.287436078,INS_SOLUTION_GOOD
2023/12/25/17:05:27.146512,816636,1703495127,145941904,,INSPVAA,USB2,0,35.0,FINESTEERING,2294,119145.15,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119145.15,24.882820304,121.156008287,352.7721,-0.0164,0.0101,-0.0041,-1.55999788,0.371094056,159.282757146,INS_SOLUTION_GOOD
2023/12/25/17:05:27.155729,816637,1703495127,155418746,,INSPVAA,USB2,0,35.0,FINESTEERING,2294,119145.16,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119145.16,24.8828203023,121.156008287,352.772,-0.0191,0.0133,-0.003,-1.559835305,0.372709656,159.280352846,INS_SOLUTION_GOOD
2023/12/25/17:05:27.165908,816638,1703495127,165575772,,INSPVAA,USB2,0,35.0,FINESTEERING,2294,119145.17,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119145.17,24.8828203004,121.156008288,352.772,-0.0215,0.0161,-0.0011,-1.560268748,0.371422445,159.28140838,INS_SOLUTION_GOOD
