time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/12/25/17:07:05.099304,161640,1703495225,96856715,/gps,0,0,24.882826845,121.15601113,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.149692,161641,1703495225,146631151,/gps,0,0,24.882826835,121.156011137,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.199013,161642,1703495225,196723576,/gps,0,0,24.8828268233,121.156011143,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.248778,161643,1703495225,246752285,/gps,0,0,24.88282681,121.156011152,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.298822,161644,1703495225,296737313,/gps,0,0,24.8828267967,121.15601116,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.349343,161645,1703495225,346472000,/gps,0,0,24.8828267783,121.156011168,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.398688,161646,1703495225,396782061,/gps,0,0,24.8828267567,121.15601118,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.448703,161647,1703495225,446522011,/gps,0,0,24.88282673,121.156011195,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.498961,161648,1703495225,496710293,/gps,0,0,24.8828266983,121.156011212,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.548880,161649,1703495225,546594323,/gps,0,0,24.8828266533,121.156011232,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.598586,161650,1703495225,596718955,/gps,0,0,24.8828265983,121.156011257,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.649843,161651,1703495225,646570311,/gps,0,0,24.882826535,121.156011288,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.699012,161652,1703495225,696850896,/gps,0,0,24.88282646,121.156011328,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.748947,161653,1703495225,746468151,/gps,0,0,24.8828263733,121.156011372,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.798709,161654,1703495225,796739480,/gps,0,0,24.8828262733,121.156011423,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.848952,161655,1703495225,846555704,/gps,0,0,24.8828261583,121.15601148,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.899117,161656,1703495225,896623599,/gps,0,0,24.8828260317,121.156011543,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:05.949901,161657,1703495225,947353610,/gps,0,0,24.8828258883,121.156011613,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:06.012084,161658,1703495226,957493,/gps,0,0,24.8828257333,121.15601169,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:06.048325,161659,1703495226,46377196,/gps,0,0,24.8828255633,121.156011775,352.519989014,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:06.098563,161660,1703495226,97473186,/gps,0,0,24.8828253833,121.156011865,352.510009766,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:06.149662,161661,1703495226,146715068,/gps,0,0,24.8828251917,121.156011963,352.510009766,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:06.198771,161662,1703495226,196635016,/gps,0,0,24.8828249883,121.156012068,352.510009766,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:06.248785,161663,1703495226,247692947,/gps,0,0,24.8828247733,121.156012178,352.510009766,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
2023/12/25/17:07:06.298997,161664,1703495226,297096223,/gps,0,0,24.8828245483,121.156012297,352.510009766,"(0.00016641001130282898, 0.0, 0.0, 0.0, 0.00010404000750839724, 0.0, 0.0, 0.0, 0.0001716100025767088)",2
