time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.novatel_msg_header.message_name,.novatel_msg_header.port,.novatel_msg_header.sequence_num,.novatel_msg_header.percent_idle_time,.novatel_msg_header.gps_time_status,.novatel_msg_header.gps_week_num,.novatel_msg_header.gps_seconds,.novatel_msg_header.receiver_status.original_status_code,.novatel_msg_header.receiver_status.error_flag,.novatel_msg_header.receiver_status.temperature_flag,.novatel_msg_header.receiver_status.voltage_supply_flag,.novatel_msg_header.receiver_status.antenna_powered,.novatel_msg_header.receiver_status.antenna_is_open,.novatel_msg_header.receiver_status.antenna_is_shorted,.novatel_msg_header.receiver_status.cpu_overload_flag,.novatel_msg_header.receiver_status.com1_buffer_overrun,.novatel_msg_header.receiver_status.com2_buffer_overrun,.novatel_msg_header.receiver_status.com3_buffer_overrun,.novatel_msg_header.receiver_status.usb_buffer_overrun,.novatel_msg_header.receiver_status.rf1_agc_flag,.novatel_msg_header.receiver_status.rf2_agc_flag,.novatel_msg_header.receiver_status.almanac_flag,.novatel_msg_header.receiver_status.position_solution_flag,.novatel_msg_header.receiver_status.position_fixed_flag,.novatel_msg_header.receiver_status.clock_steering_status_enabled,.novatel_msg_header.receiver_status.clock_model_flag,.novatel_msg_header.receiver_status.oemv_external_oscillator_flag,.novatel_msg_header.receiver_status.software_resource_flag,.novatel_msg_header.receiver_status.aux1_status_event_flag,.novatel_msg_header.receiver_status.aux2_status_event_flag,.novatel_msg_header.receiver_status.aux3_status_event_flag,.novatel_msg_header.receiver_software_version,.week,.seconds,.latitude,.longitude,.height,.north_velocity,.east_velocity,.up_velocity,.roll,.pitch,.azimuth,.status
2023/12/25/17:13:23.423123,863986,1703495603,422761490,,INSPVAA,USB2,0,33.5,FINESTEERING,2294,119621.43,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119621.43,24.8828420186,121.156049845,352.6539,-0.0004,-0.0034,-0.0015,-1.172033213,-0.001621261,160.930065215,INS_SOLUTION_GOOD
2023/12/25/17:13:23.433890,863987,1703495603,433549024,,INSPVAA,USB2,0,33.5,FINESTEERING,2294,119621.44,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119621.44,24.8828420179,121.156049844,352.6539,-0.0005,-0.0028,-0.0007,-1.170108015,-0.001892359,160.929402305,INS_SOLUTION_GOOD
2023/12/25/17:13:23.444814,863988,1703495603,444515987,,INSPVAA,USB2,0,33.5,FINESTEERING,2294,119621.45,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119621.45,24.8828420175,121.156049844,352.6539,-0.0005,-0.0025,0.0,-1.16793785,-0.000767414,160.930526194,INS_SOLUTION_GOOD
2023/12/25/17:13:23.453584,863989,1703495603,452784275,,INSPVAA,USB2,0,33.5,FINESTEERING,2294,119621.46,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119621.46,24.882842017,121.156049844,352.6538,-0.0003,-0.0021,0.0007,-1.167667652,-0.004736262,160.930253799,INS_SOLUTION_GOOD
2023/12/25/17:13:23.463463,863990,1703495603,463148885,,INSPVAA,USB2,0,33.5,FINESTEERING,2294,119621.47,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119621.47,24.8828420164,121.156049843,352.6538,-0.0002,-0.0021,0.0002,-1.169000581,-0.004370222,160.93090505,INS_SOLUTION_GOOD
2023/12/25/17:13:23.483497,863991,1703495603,483166673,,INSPVAA,USB2,0,33.5,FINESTEERING,2294,119621.49,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119621.49,24.8828420154,121.156049843,352.6538,-0.0001,-0.0008,0.0011,-1.16396774,-0.001126271,160.927845297,INS_SOLUTION_GOOD
2023/12/25/17:13:23.494929,863992,1703495603,494569347,,INSPVAA,USB2,0,33.5,FINESTEERING,2294,119621.5,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119621.5,24.8828420151,121.156049843,352.6538,-0.0002,-0.0,0.0023,-1.163496423,-0.002974143,160.928507336,INS_SOLUTION_GOOD
2023/12/25/17:13:23.503540,863993,1703495603,503250105,,INSPVAA,USB2,0,33.5,FINESTEERING,2294,119621.51,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119621.51,24.8828420145,121.156049842,352.6538,-0.0001,0.0003,0.0018,-1.166256144,-0.004773983,160.928247261,INS_SOLUTION_GOOD
2023/12/25/17:13:23.513136,863994,1703495603,512693753,,INSPVAA,USB2,0,33.5,FINESTEERING,2294,119621.52,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119621.52,24.8828420141,121.156049842,352.6538,-0.0003,0.0006,0.0006,-1.168537108,-0.007171526,160.927185015,INS_SOLUTION_GOOD
2023/12/25/17:13:23.523557,863995,1703495603,523246117,,INSPVAA,USB2,0,33.5,FINESTEERING,2294,119621.53,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119621.53,24.8828420136,121.156049842,352.6538,0.0009,0.001,-0.0007,-1.166933632,-0.014807191,160.926660751,INS_SOLUTION_GOOD
