time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/12/25/17:05:27.099763,159715,1703495127,96994019,/gps,0,0,24.8828237033,121.155999412,352.549987793,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.149422,159716,1703495127,146999086,/gps,0,0,24.8828236933,121.155999408,352.549987793,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.199574,159717,1703495127,197584467,/gps,0,0,24.882823685,121.155999413,352.549987793,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.249157,159718,1703495127,246958612,/gps,0,0,24.8828236783,121.15599942,352.549987793,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.299424,159719,1703495127,297133776,/gps,0,0,24.8828236667,121.15599942,352.549987793,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.448987,159720,1703495127,446997827,/gps,0,0,24.8828236367,121.155999435,352.549987793,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.499682,159721,1703495127,497718364,/gps,0,0,24.882823625,121.155999438,352.549987793,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.549059,159722,1703495127,547545674,/gps,0,0,24.8828236117,121.155999442,352.549987793,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.598994,159723,1703495127,597100690,/gps,0,0,24.8828235983,121.155999448,352.549987793,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.649962,159724,1703495127,647018814,/gps,0,0,24.8828235833,121.155999457,352.549987793,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.699275,159725,1703495127,696938746,/gps,0,0,24.88282356,121.155999465,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.749248,159726,1703495127,747141079,/gps,0,0,24.88282353,121.155999475,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.799188,159727,1703495127,798078766,/gps,0,0,24.8828234917,121.155999492,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.849206,159728,1703495127,846822086,/gps,0,0,24.882823445,121.155999512,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.899084,159729,1703495127,897214539,/gps,0,0,24.882823385,121.155999535,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:27.954043,159730,1703495127,946994921,/gps,0,0,24.8828233133,121.155999565,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:28.012033,159731,1703495128,618956,/gps,0,0,24.88282323,121.1559996,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:28.049120,159732,1703495128,46867534,/gps,0,0,24.8828231317,121.155999643,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.099285,159733,1703495128,97295055,/gps,0,0,24.8828230183,121.15599969,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.149053,159734,1703495128,147668045,/gps,0,0,24.8828228917,121.155999743,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.199287,159735,1703495128,197533805,/gps,0,0,24.88282275,121.155999803,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.249526,159736,1703495128,247343187,/gps,0,0,24.8828225967,121.155999868,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.299091,159737,1703495128,297052430,/gps,0,0,24.8828224283,121.155999942,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.349292,159738,1703495128,347122126,/gps,0,0,24.8828222483,121.156000018,352.540008545,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.399459,159739,1703495128,397568875,/gps,0,0,24.882822055,121.156000102,352.529998779,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.449776,159740,1703495128,446954528,/gps,0,0,24.88282185,121.156000187,352.529998779,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.499607,159741,1703495128,497819738,/gps,0,0,24.8828216317,121.156000275,352.529998779,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.599804,159742,1703495128,597258856,/gps,0,0,24.8828211683,121.15600046,352.529998779,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.649113,159743,1703495128,646498443,/gps,0,0,24.8828209183,121.156000558,352.529998779,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.699486,159744,1703495128,697615984,/gps,0,0,24.8828206583,121.15600066,352.529998779,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.749252,159745,1703495128,747027150,/gps,0,0,24.88282039,121.15600077,352.529998779,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.799178,159746,1703495128,797991754,/gps,0,0,24.8828201183,121.156000888,352.519989014,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.848940,159747,1703495128,847724425,/gps,0,0,24.8828198383,121.156001015,352.519989014,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.899895,159748,1703495128,897092916,/gps,0,0,24.8828195517,121.15600115,352.519989014,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:28.948964,159749,1703495128,946953499,/gps,0,0,24.88281925,121.15600129,352.519989014,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:29.012240,159750,1703495129,751356,/gps,0,0,24.8828189417,121.156001432,352.519989014,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00012996000438272957)",2
2023/12/25/17:05:29.049131,159751,1703495129,47156462,/gps,0,0,24.8828186267,121.156001575,352.519989014,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.099173,159752,1703495129,97201997,/gps,0,0,24.8828183033,121.156001718,352.519989014,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.149157,159753,1703495129,147631431,/gps,0,0,24.882817965,121.156001863,352.519989014,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.199112,159754,1703495129,197285291,/gps,0,0,24.8828176117,121.156002008,352.519989014,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.249039,159755,1703495129,246904328,/gps,0,0,24.8828172483,121.156002158,352.510009766,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.298915,159756,1703495129,297146489,/gps,0,0,24.8828168767,121.156002315,352.510009766,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.349184,159757,1703495129,346875168,/gps,0,0,24.882816495,121.156002472,352.510009766,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.399267,159758,1703495129,397997798,/gps,0,0,24.8828161033,121.156002632,352.510009766,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.449675,159759,1703495129,447749282,/gps,0,0,24.8828156983,121.156002793,352.5,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.499305,159760,1703495129,497701531,/gps,0,0,24.8828152867,121.156002962,352.5,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.548898,159761,1703495129,546804714,/gps,0,0,24.882814865,121.156003137,352.5,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.599534,159762,1703495129,597105273,/gps,0,0,24.882814435,121.156003322,352.5,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.650596,159763,1703495129,647106490,/gps,0,0,24.8828139967,121.156003508,352.5,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.699466,159764,1703495129,698099147,/gps,0,0,24.8828135533,121.156003698,352.5,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.749014,159765,1703495129,746985684,/gps,0,0,24.8828131,121.156003888,352.489990234,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.799219,159766,1703495129,797618146,/gps,0,0,24.88281263,121.156004082,352.489990234,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.848992,159767,1703495129,846879170,/gps,0,0,24.882812145,121.156004282,352.489990234,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.899198,159768,1703495129,897057374,/gps,0,0,24.8828116583,121.15600449,352.489990234,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:29.950207,159769,1703495129,947953948,/gps,0,0,24.8828111683,121.156004698,352.489990234,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:30.012158,159770,1703495130,1146044,/gps,0,0,24.882810665,121.156004908,352.480010986,"(0.00012996000438272957, 0.0, 0.0, 0.0, 9.604000227808954e-05, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/12/25/17:05:30.049209,159771,1703495130,46917798,/gps,0,0,24.8828101533,121.156005125,352.480010986,"(0.00013225000051409006, 0.0, 0.0, 0.0, 9.999999552965169e-05, 0.0, 0.0, 0.0, 0.00013688999257296334)",2
2023/12/25/17:05:30.099260,159772,1703495130,97011601,/gps,0,0,24.88280963,121.156005337,352.480010986,"(0.00013225000051409006, 0.0, 0.0, 0.0, 9.999999552965169e-05, 0.0, 0.0, 0.0, 0.00013688999257296334)",2
2023/12/25/17:05:30.150286,159773,1703495130,147578808,/gps,0,0,24.882809095,121.156005547,352.470001221,"(0.00013225000051409006, 0.0, 0.0, 0.0, 9.999999552965169e-05, 0.0, 0.0, 0.0, 0.00013688999257296334)",2
2023/12/25/17:05:30.199278,159774,1703495130,197504196,/gps,0,0,24.8828085483,121.156005762,352.470001221,"(0.00013225000051409006, 0.0, 0.0, 0.0, 9.999999552965169e-05, 0.0, 0.0, 0.0, 0.00013688999257296334)",2
2023/12/25/17:05:30.252980,159775,1703495130,247649758,/gps,0,0,24.8828079917,121.15600598,352.470001221,"(0.00013225000051409006, 0.0, 0.0, 0.0, 9.999999552965169e-05, 0.0, 0.0, 0.0, 0.00013688999257296334)",2
